2. 읍·면·동별 세대 및 인구,,,,,,,,,,
,,,,,,,,,," (단위: 세대, 명) "
구   분,,,, 한   국   인  ,,,,,,
, 인 구 ,,, 세대 , 인  구 ,,, 인 구 ,,
, 계 , 남 , 여 ,, 계 , 남 , 여 , 계 , 남 , 여 
금 악 리,1144 ,565 ,579 ,344 ,1143 ,565 ,578 ,1 ,0 ,1 
상 명 리,587 ,308 ,279 ,158 ,587 ,308 ,279 ,0 ,0 ,0 
월 림 리,529 ,262 ,267 ,179 ,529 ,262 ,267 ,0 ,0 ,0 
옹 포 리,1649 ,794 ,855 ,471 ,1646 ,792 ,854 ,3 ,2 ,1 
협 재 리,1128 ,528 ,600 ,348 ,1128 ,528 ,600 ,0 ,0 ,0 
금 능 리,1346 ,636 ,710 ,384 ,1345 ,636 ,709 ,1 ,0 ,1 
월 령 리,488 ,225 ,263 ,145 ,488 ,225 ,263 ,0 ,0 ,0 
비 양 리,225 ,102 ,123 ,65 ,225 ,102 ,123 ,0 ,0 ,0 
애 월 읍,23057 ,11370 ,11687 ,6720 ,23052 ,11368 ,11684 ,5 ,2 ,3 
애 월 리,2154 ,1037 ,1117 ,667 ,2151 ,1035 ,1116 ,3 ,2 ,1 
곽 지 리,1220 ,579 ,641 ,387 ,1220 ,579 ,641 ,0 ,0 ,0 
금 성 리,725 ,346 ,379 ,213 ,724 ,346 ,378 ,1 ,0 ,1 
봉 성 리,1461 ,711 ,750 ,388 ,1461 ,711 ,750 ,0 ,0 ,0 
어음 1리,329 ,165 ,164 ,103 ,329 ,165 ,164 ,0 ,0 ,0 
어음 2리,306 ,153 ,153 ,88 ,306 ,153 ,153 ,0 ,0 ,0 
납 읍 리,1308 ,638 ,670 ,395 ,1308 ,638 ,670 ,0 ,0 ,0 
고 내 리,837 ,404 ,433 ,236 ,837 ,404 ,433 ,0 ,0 ,0 
상 가 리,882 ,428 ,454 ,245 ,882 ,428 ,454 ,0 ,0 ,0 
하 가 리,458 ,228 ,230 ,149 ,458 ,228 ,230 ,0 ,0 ,0 
신 엄 리,928 ,441 ,487 ,283 ,928 ,441 ,487 ,0 ,0 ,0 
중 엄 리,542 ,259 ,283 ,162 ,542 ,259 ,283 ,0 ,0 ,0 
구 엄 리,719 ,365 ,354 ,220 ,719 ,365 ,354 ,0 ,0 ,0 
